Time period,Legal demands: court orders,Other legal demands,Combined removal requests,% change,Court orders compliance rate,Other legal demands compliance rate,Combined compliance rate,Court orders accounts specified,Other legal demands accounts specified,Combined accounts specified,Combined accounts withheld,Combined tweets withheld,Court orders accounts TOS,Other legal demands accounts TOS,Combined accounts TOS
July - December 2020,15,6956,"6,971",151,73,9,9,220,18908,"19,128",60,598,2,1308,1310
January - June 2020,4,"2,768","2,772",254,25,13.8,13.9,9,"13,191","13,200",17,377,0,"1,159","1,159"
July - December 2019,7,775,782,55,85.7,36.3,36.7,"1,230","6,604","7,834",16,"1,481",4,988,992
January - June 2019,8,496,504,-24,-,-,,-,-,"2,484",73,241,-,-,578
July - December 2018,10,657,667,171,-,-,,-,-,"2,228",95,114,-,-,320
January - June 2018,9,237,246,71,-,-,,-,-,"1,694",19,498,-,-,142
July - December 2017,2,142,144,38,-,-,,-,-,800,17,32,-,-,143
January - June 2017,2,102,104,7,-,-,,-,-,341,0,0,-,-,101
July - December 2016,1,96,97,126,-,-,,-,-,295,0,0,-,-,104
January - June 2016,1,42,43,8,-,-,,-,-,129,0,0,-,-,89
July - December 2015,1,39,40,21,-,-,,-,-,47,0,0,-,-,21
January - June 2015,2,31,33,120,-,-,,-,-,65,0,0,-,-,0
July - December 2014,1,14,15,200,-,-,,-,-,15,1,0,-,-,0
January - June 2014,0,5,5,-38,-,-,,-,-,9,0,0,-,-,0
July - December 2013,2,6,8,300,-,-,,-,-,54,0,13,-,-,0
January - June 2013,1,1,2,0,-,-,,-,-,2,0,3,-,-,0
July - December 2012,1,1,2,,-,-,,-,-,16,0,0,-,-,0
Total,67,"12,368","12,435",,69.2,12.3,12.4,"1,459","38,703","48,341",298,"3,357",6,"3,455","4,959"